"Species";"Latitude";"Longitude";"Locality";"Country";"Diagnosis";"Confidence";"Reference";"Coord_Method";"Coord_Method_Name";"Issues"
"Mastomys natalensis";10.2582;-2.626;"Natorduori";"Ghana";"morpho + PCR cytb";"high";"Kronmann et al. 2013";"NA";;
"Mastomys natalensis";9.547;-1.6325;"Bewena";"Ghana";"morpho + PCR cytb";"high";"Kronmann et al. 2013";"NA";;
"Mastomys natalensis";10.395;-0.366;"Teanoba";"Ghana";"morpho + PCR cytb";"high";"Kronmann et al. 2013";"NA";;
"Mastomys natalensis";8.3472;-0.3458;"Jirandogo";"Ghana";"morpho + PCR cytb";"high";"Kronmann et al. 2013";"NA";;
"Mastomys natalensis";7.1227;-2.3277;"Amomaso";"Ghana";"morpho + PCR cytb";"high";"Kronmann et al. 2013";"NA";;
"Mastomys natalensis";10.6193;-1.4218;"Doninga";"Ghana";"morpho + PCR cytb";"high";"Kronmann et al. 2013";"NA";;
"Mastomys natalensis";7.9685;-1.6632;"Mangoase";"Ghana";"morpho + PCR cytb";"high";"Kronmann et al. 2013";"NA";;
"Mastomys natalensis";7.6742;-0.633;"Monkwo";"Ghana";"morpho + PCR cytb";"high";"Kronmann et al. 2013";"NA";;
"Mastomys natalensis";7.7164;-9.2686;"Bamakama";"Guinea";"morpho + PCR cytb";"high";"Lecompte et al. 2006";"NA";;
"Mastomys natalensis";10.0667;-10.5833;"Bantou";"Guinea";"morpho + PCR cytb";"high";"Lecompte et al. 2006";"NA";;
"Mastomys natalensis";8.5683;-10.0308;"Bawa";"Guinea";"morpho + ELISA Lassa (3%)";"high";"Demby et al. 2001";"NA";;
"Mastomys natalensis";8.0833;-8.9144;"Bhoita";"Guinea";"morpho + PCR cytb";"high";"Lecompte et al. 2006";"NA";;
"Mastomys natalensis";9;-9.95;"Boue";"Guinea";"morpho + ELISA Lassa (11%)";"high";"Demby et al. 2001";"NA";;
"Mastomys natalensis";8.4928;-10.4453;"Denguedou";"Guinea";"morpho + PCR cytb";"high";"Lecompte et al. 2006";"NA";;
"Mastomys natalensis";8.5;-10.6;"Fangamandou";"Guinea";"morpho + ELISA Lassa (37%)";"high";"Demby et al. 2001";"NA";;
"Mastomys natalensis";9.6333;-8.9433;"Franfina";"Guinea";"morpho + PCR cytb";"high";"Lecompte et al. 2006";"NA";;
"Mastomys natalensis";11.0833;-12.2833;"Gagal";"Guinea";"morpho + PCR cytb";"high";"Lecompte et al. 2006";"NA";;
"Mastomys natalensis";9.84;-11.0333;"Gbetaya";"Guinea";"morpho + PCR cytb";"high";"Lecompte et al. 2006";"NA";;
"Mastomys natalensis";10.75;-11.8;"Kalia";"Guinea";"morpho + PCR cytb";"high";"Lecompte pers. Com";"NA";;
"Mastomys natalensis";10.5;-9.0167;"Kodoko";"Guinea";"morpho + PCR cytb";"high";"Lecompte et al. 2006";"NA";;
"Mastomys natalensis";8.5625;-10.02;"Lorlu";"Guinea";"morpho + ELISA Lassa (13%)";"high";"Demby et al. 2001";"NA";;
"Mastomys natalensis";9.8833;-12.45;"Madina Oula";"Guinea";"morpho + ELISA Lassa (23%)";"high";"Demby et al. 2001";"NA";;
"Mastomys natalensis";7.64;-8.8;"Nona-Bounouma";"Guinea";"morpho + ELISA Lassa (12%)";"high";"Fair et al. 2007";"NA";;
"Mastomys natalensis";8.4828;-10.44;"Ow Jiba";"Guinea";"morpho + ELISA Lassa (33%)";"high";"Demby et al. 2001";"NA";;
"Mastomys natalensis";8.6;-9.4667;"Sangassou";"Guinea";"morpho + PCR cytb";"high";"Lecompte et al. 2006";"NA";;
"Mastomys natalensis";11.5167;-9;"Saourou";"Guinea";"morpho + PCR cytb";"high";"Lecompte et al. 2006";"NA";;
"Mastomys natalensis";11.42;-12.35;"Satina";"Guinea";"morpho + PCR cytb";"high";"Lecompte pers. Com";"NA";;
"Mastomys natalensis";9.7167;-10.8833;"Songoya";"Guinea";"morpho + ELISA Lassa (31%)";"high";"Demby et al. 2001";"NA";;
"Mastomys natalensis";10;-10.9667;"Tanganya";"Guinea";"morpho + PCR cytb";"high";"Lecompte et al. 2006";"NA";;
"Mastomys natalensis";8.5626;-10.01;"Tekoulo";"Guinea";"morpho + ELISA Lassa (8%)";"high";"Demby et al. 2001";"NA";;
"Mastomys natalensis";11.35;-12.68;"Téliré";"Guinea";"morpho + PCR cytb";"high";"Lecompte pers. Com";"NA";;
"Mastomys natalensis";7.5603;-9.26;"Waita";"Guinea";"morpho + ELISA Lassa (4%)";"high";"Demby et al. 2001";"NA";;
"Mastomys natalensis";-1.11;34.98;"Kitale Endebes";"Kenya";"morpho + PCR cytb";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-0.1667;26.2667;"Rongai";"Kenya";"morpho + PCR cyt b";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";1.02;35;"Kitale";"Kenya";"morpho + chrom";"high";"Corti et al. 2005";"NA";;
"Mastomys natalensis";1.27;36.82;"Nairobi";"Kenya";"morpho + chrom + PCR cytb";"high";"Corti et al. 2005/BEBIF provider";"NA";;
"Mastomys natalensis";-2.9833;38.4667;"Camp simba tsavo";"Kenya";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";1.1667;34.5333;"Elgon mt";"Kenya";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-0.9667;38.3;"Kinu machakos district";"Kenya";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-0.1667;35;"Kjaertinge";"Kenya";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-0.25;35.7333;"Kjaertinge";"Kenya";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";1.5333;35.3833;"Maroon river";"Kenya";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-3.1667;37.6333;"Mbalula";"Kenya";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";0.05;37.65;"Meru, mont Kenya";"Kenya";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-3.3333;37.8333;"Mkuyu riv";"Kenya";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-1.8167;37.5333;"Nziu machakos district";"Kenya";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-3.3667;37.7833;"Ziwani swamp";"Kenya";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";1.23;36.8;"Kahawa";"Kenya";"morpho";"low";"Oguge 1995";"NA";;
"Mastomys natalensis";3.38;39.93;"Mida Creek";"Kenya";"morpho";"low";"Canova & Fasola 2000";"NA";;
"Mastomys natalensis";0.5;37.5;"Mukogodo forest";"Kenya";"morpho";"low";"Webala et al. 2006";"NA";;
"Mastomys natalensis";0.46;35.96;"Perkerra settlement";"Kenya";"morpho";"low";"Githure et al. 1986";"NA";;
"Mastomys natalensis";4.22;39.56;"River Tiwi";"Kenya";"morpho";"low";"Canova & Fasola 2000";"NA";;
"Mastomys natalensis";-0.116667;34.766667;"Nyabera Swamp, in Kisumu";"Kenya";"morpho";"low";"Hanelt et al. 2009";"NA";"http://earth-info.nga.mil/gns/html/namefiles.htm";
"Mastomys natalensis";8.04;-9.49;"Zigida";"Liberia";"morpho + Lassa cell culture (pos)";"high";"Monath et al. 1973";"NA";;
"Mastomys natalensis";6.3167;-10.8;"Monrovia";"Liberia";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.65;-8.5;"Nimba (mont)";"Liberia";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.5833;-8.5333;"Yekepa";"Liberia";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.4833;-8.6167;"Gbapa";"Liberia";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-16.3;34.73;"Lengwe NP";"Malawi";"morpho";"high";"Happold & Happold 1991";"NA";;
"Mastomys natalensis";12.27;-8.75;"Massakoroma";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";12.95;-8.17;"Kalifabougou";"Mali";"morpho + PCR cytb";"high";"Lecompte et al. 2005";"NA";;
"Mastomys natalensis";13.03;-7.23;"Kalibougou";"Mali";"morpho + PCR cytb";"high";"Lecompte et al. 2005";"NA";;
"Mastomys natalensis";12.88;-8.14;"Sokolobougou";"Mali";"morpho + PCR cytb";"high";"Lecompte et al. 2005";"NA";;
"Mastomys natalensis";12.55;-8.05;"Samaya";"Mali";"morpho + PCR cytb";"high";"Lecompte et al. 2005";"NA";;
"Mastomys natalensis";14.99;-7.67;"Dilly";"Mali";"morpho + PCR cytb";"high";"Lecompte et al. 2005";"NA";;
"Mastomys natalensis";12.5;-10.27;"Soukoutali";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";12.45;-10.25;"Gainsoa";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";12.63;-8;"Bamako ";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";13.02;-8.23;"Niamana (Missira)";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";12.33;-8.13;"Djoliba";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";14.18;-3.55;"Endé";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";15.07;-2.78;"Gono";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";12.56;-8.88;"Kignielendo";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";12.3;-8.15;"Kirina";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";11.96;-5.68;"Kouoro";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";11.22;-5.46;"Mamouroubougou";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";11.23;-5.41;"Saniena";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";12.53;-8.08;"Samanko (ICRYSAT)";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";12.27;-8.76;"Tombané";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";14.07;-3.2;"Yedianga";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";10.48;-7.95;"Dalakan";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";12.93;-10.48;"Sandiguila";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";10.81;-5.65;"Seniena";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";13.03;-10.48;"Toumania";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";10.8;-5.6;"Woroni";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";12.25;-10.32;"Bindougou";"Mali";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";-25.8967;32.5429;"Infulene";"Mozambique";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-25.8833;32.45;"Machava";"Mozambique";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-25.94;32.58;"Maxaquene";"Mozambique";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-17.33;35.58;"Murrumbala";"Mozambique";"morpho + PCR cytb";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-17.44;35.07;"Mutarara";"Mozambique";"morpho";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-17.73;15.72;"Okatana";"Namibia";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-32.6833;14.5333;"Swakopmund";"Namibia";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";12.91;2.4;"Babangata";"Niger";"morpho + chrom";"high";"Dobigny et al. 2002";"NA";;
"Mastomys natalensis";14.37;3.38;"Batchintoulou";"Niger";"morpho + chrom";"high";"Dobigny et al. 2002";"NA";;
"Mastomys natalensis";13.53;2.1;"Niamey";"Niger";"morpho + chrom";"high";"Dobigny et al. 2002";"NA";;
"Mastomys natalensis";11.83;3.33;"Tara";"Niger";"morpho + chrom";"high";"Dobigny et al. 2002";"NA";;
"Mastomys natalensis";13.2;2.35;"Tokaye";"Niger";"morpho + chrom";"high";"Dobigny et al. 2002";"NA";;
"Mastomys natalensis";13.56;2.02;"Tondibia";"Niger";"morpho + chrom";"high";"Dobigny et al. 2002";"NA";;
"Mastomys natalensis";15.13;2.08;"Bani Kokorbei";"Niger";"morpho + chrom + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";13.13;1.96;"Piliki";"Niger";"morpho + chrom + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";13.4;7.13;"Djirataoua";"Niger";"morpho + chrom + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";11.88;3.45;"Gaya barrage";"Niger";"morpho + chrom + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";12.41;2.83;"Boumba";"Niger";"morpho + chrom + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";14.61;8.5;"Gangara";"Niger";"morpho + chrom + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";12.55;2.63;"Karey Kopto";"Niger";"morpho + chrom + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";13;1.0667;"Maccalondi";"Niger";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";9.33;9.45;"Ner-Pankshin";"Nigeria";"morpho + cell culture Lassa";"high";"Wulff et al. 1975";"NA";;
"Mastomys natalensis";7.33;4.12;"Asejire";"Nigeria";"morpho + skull";"high";"Olayemi & Akinpelu 2008";"NA";;
"Mastomys natalensis";7.47;4.57;"Ife";"Nigeria";"morpho + skull";"high";"Olayemi & Akinpelu 2008";"NA";;
"Mastomys natalensis";7.77;4.57;"Osogbo";"Nigeria";"morpho + skull";"high";"Olayemi & Akinpelu 2008";"NA";;
"Mastomys natalensis";8.13;4.27;"Ogbomosos";"Nigeria";"morpho + skull";"high";"Olayemi & Akinpelu 2008";"NA";;
"Mastomys natalensis";8.5;4.55;"Ilorin";"Nigeria";"morpho + skull";"high";"Olayemi & Akinpelu 2008";"NA";;
"Mastomys natalensis";6.78;6.35;"Idumu-Oze";"Nigeria";"morpho";"low";"pers. Obs.";"NA";;
"Mastomys natalensis";8;3.2;"Oke-Iho";"Nigeria";"morpho";"low";"Happold 1975";"NA";;
"Mastomys natalensis";7.68;3.12;"Igangan";"Nigeria";"morpho";"low";"Happold 1975";"NA";;
"Mastomys natalensis";7.45;3.28;"Igbo-Ora";"Nigeria";"morpho";"low";"Happold 1975";"NA";;
"Mastomys natalensis";7.43;3.53;"Olokomeji";"Nigeria";"morpho";"low";"Happold 1975";"NA";;
"Mastomys natalensis";9.25;3.83;"Kishi";"Nigeria";"morpho";"low";"Happold 1975";"NA";;
"Mastomys natalensis";8.15;5.1;"Omu-Aran";"Nigeria";"morpho";"low";"Happold 1975";"NA";;
"Mastomys natalensis";8.23;5.51;"Egbe";"Nigeria";"morpho";"low";"Happold 1975";"NA";;
"Mastomys natalensis";7.83;6.08;"Kabba";"Nigeria";"morpho";"low";"Happold 1975";"NA";;
"Mastomys natalensis";10.15;11.3833;"Nono";"Nigeria";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";7.5439;4.5131;"Abagboro";"Nigeria";"morpho + PCR cytb";"high";"Olayemi et al. 2018";"NA";;
"Mastomys natalensis";7.6906;4.6194;"Kako";"Nigeria";"morpho + PCR cytb";"high";"Olayemi et al. 2018";"NA";;
"Mastomys natalensis";7.7013;4.6554;"Esira";"Nigeria";"morpho + PCR cytb";"high";"Olayemi et al. 2018";"NA";;
"Mastomys natalensis";6.773;6.0924;"Eguare Egoro";"Nigeria";"morpho + PCR cytb";"high";"Olayemi et al. 2018";"NA";;
"Mastomys natalensis";6.7414;6.1049;"Ekpoma";"Nigeria";"morpho + PCR cytb";"high";"Olayemi et al. 2018";"NA";;
"Mastomys natalensis";7.641;8.4066;"Onmba Abena";"Nigeria";"morpho + PCR cytb";"high";"Olayemi et al. 2018";"NA";;
"Mastomys natalensis";8.8242;10.9209;"Mayo Ranewo";"Nigeria";"morpho + PCR cytb";"high";"Olayemi et al. 2018";"NA";;
"Mastomys natalensis";7.0919;11.0911;"Ngel Nyaki";"Nigeria";"morpho + PCR cytb";"high";"Olayemi et al. 2018";"NA";;
"Mastomys natalensis";-1.9;29.38;"Ruliba (Rulimba)";"Rwanda";"morpho + PCR cytb";"high";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.5667;29.7167;"Astrida";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-1.5;30.2667;"Bilalu";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.6833;29;"Bugarama";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.0833;30.3333;"Bugesera";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.6;29.7333;"Butare labo vet";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.5167;28.8667;"Cyimbogo";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-1.5167;30.4333;"Gabiro";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.4667;29.9167;"Gakoma";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.4833;29.5667;"Gasarenda";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2;30.5833;"Ibanda";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-1.9333;30.7;"Kabuga";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.4;29.1333;"Kagano";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-1.55;30.25;"Kaninya";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.6667;29.7833;"Kansi";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.2667;30.2667;"Karama";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-1.9833;30.15;"Karama";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-1.94;29.65;"Katitumba (Katumba)";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.6333;29.8167;"Kibilizi";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.1667;30.5333;"Kibungo";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-1.95;30.0667;"Kigali";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.5;29.5167;"Kigombe";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.5167;29.4333;"Kitabi";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.4833;29.9333;"Mamba";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-1.9833;30.1833;"Masaka";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-1.4333;30.25;"Mimuli";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.7167;29.55;"Mubuga";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.4667;29.8167;"Mugogwe";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2;28.2833;"Murene";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-1.9167;30.3333;"Musha";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-0.3167;29.75;"Mutsora";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-1.5833;29.5;"Nkuli";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.1667;30.1;"Nyamata";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-1.5667;30.25;"Nyarubuye";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.4833;29.7667;"Rubona";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.2167;30.5833;"Rukira";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-1.95;30;"Rukira";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-1.9167;30.2833;"Runyinya";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.5333;30.05;"Rwahinda (Lake)";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-2.4667;29.2;"Uwinka";"Rwanda";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";12.53;-12.32;"Bandafassi";"Senegal";"morpho + PCR cytb";"high";"Brouat et al. 2007";"NA";;
"Mastomys natalensis";12.83;-11.88;"Bembou";"Senegal";"morpho + PCR cytb";"high";"Brouat et al. 2007";"NA";;
"Mastomys natalensis";12.81;-12.07;"Diakhaba";"Senegal";"morpho + PCR cytb";"high";"Brouat et al. 2007";"NA";;
"Mastomys natalensis";12.55;-12.2;"Fadiga";"Senegal";"morpho + PCR cytb";"high";"Brouat et al. 2007";"NA";;
"Mastomys natalensis";12.48;-11.95;"Kedougou";"Senegal";"morpho + PCR cytb";"high";"Brouat et al. 2007";"NA";;
"Mastomys natalensis";12.52;-12.43;"Ndebou";"Senegal";"morpho + PCR cytb";"high";"Brouat et al. 2007";"NA";;
"Mastomys natalensis";12.63;-12.25;"Ngari";"Senegal";"morpho + PCR cytb";"high";"Brouat et al. 2007";"NA";;
"Mastomys natalensis";13.02;-12.55;"Niemenike";"Senegal";"morpho + PCR cytb";"high";"Brouat et al. 2007";"NA";;
"Mastomys natalensis";12.6;-11.67;"Samekouta";"Senegal";"morpho + PCR cytb";"high";"Brouat et al. 2007";"NA";;
"Mastomys natalensis";12.8;-12.29;"Tomboronkoto";"Senegal";"morpho + PCR cytb";"high";"Brouat et al. 2007";"NA";;
"Mastomys natalensis";13.27;-12.1;"Bransan";"Senegal";"morpho + électrophorèse";"high";"Duplantier et al. 1990";"NA";;
"Mastomys natalensis";12.55;-12.18;"Kedougou A";"Senegal";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";12.38;-12.32;"Dindifello";"Senegal";"morpho + PCR cytb";"high";"Duplantier et al. 2009";"NA";;
"Mastomys natalensis";13.0167;-13.1833;"Ba foula be";"Senegal";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";12.5667;-15.8833;"Goudomp";"Senegal";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";13.45;-13.7167;"Goulombo";"Senegal";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";13;-13;"Niokolokoba";"Senegal";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";9.07;-12.42;"Batkanu";"Sierra Leone";"morpho + chrom";"high";"Robbins et al. 1983";"NA";;
"Mastomys natalensis";7.78;-12;"Belebu";"Sierra Leone";"morpho + chrom";"high";"Robbins et al. 1983";"NA";;
"Mastomys natalensis";9.12;-11.9;"Bumban";"Sierra Leone";"morpho + chrom";"high";"Robbins et al. 1983";"NA";;
"Mastomys natalensis";9.38;-11.77;"Fadugu";"Sierra Leone";"morpho + chrom";"high";"Robbins et al. 1983";"NA";;
"Mastomys natalensis";8.22;-11.03;"Geliama";"Sierra Leone";"morpho + cell culture + IFA Lassa";"high";"McCormick et al. 1987";"NA";;
"Mastomys natalensis";8.17;-11.08;"Giehun";"Sierra Leone";"morpho + cell culture + IFA Lassa";"high";"McCormick et al. 1987";"NA";;
"Mastomys natalensis";8.2;-11.05;"Giema";"Sierra Leone";"morpho + chrom";"high";"Robbins et al. 1983";"NA";;
"Mastomys natalensis";9.4;-11.73;"Kafogo";"Sierra Leone";"morpho + chrom";"high";"Robbins et al. 1983";"NA";;
"Mastomys natalensis";9.18;-11.93;"Kamagbengbe";"Sierra Leone";"morpho + chrom";"high";"Robbins et al. 1983";"NA";;
"Mastomys natalensis";9.5;-12.23;"Kathumpe";"Sierra Leone";"morpho + chrom";"high";"Robbins et al. 1983";"NA";;
"Mastomys natalensis";8.1;-11.02;"Konia";"Sierra Leone";"morpho + chrom";"high";"Robbins et al. 1983";"NA";;
"Mastomys natalensis";8.22;-11.07;"Kpandebu";"Sierra Leone";"morpho + cell culture + IFA Lassa";"high";"McCormick et al. 1987";"NA";;
"Mastomys natalensis";8.2;-11.08;"Lalehun";"Sierra Leone";"morpho + cell culture + IFA Lassa";"high";"McCormick et al. 1987";"NA";;
"Mastomys natalensis";8.23;-11.05;"Landoma";"Sierra Leone";"morpho + cell culture + IFA Lassa";"high";"McCormick et al. 1987";"NA";;
"Mastomys natalensis";9.1;-12.32;"Mamaka";"Sierra Leone";"morpho + cell culture + IFA Lassa";"high";"McCormick et al. 1987";"NA";;
"Mastomys natalensis";8.12;-11;"Meema";"Sierra Leone";"morpho + chrom";"high";"Robbins et al. 1983";"NA";;
"Mastomys natalensis";8;-11.07;"Niahun";"Sierra Leone";"morpho + cell culture + IFA Lassa";"high";"McCormick et al. 1987";"NA";;
"Mastomys natalensis";8.1;-11.33;"Palima";"Sierra Leone";"morpho + cell culture + IFA Lassa";"high";"McCormick et al. 1987";"NA";;
"Mastomys natalensis";8.2;-11.22;"Panguma";"Sierra Leone";"morpho + cell culture Lassa";"high";"Monath et al. 1974";"NA";;
"Mastomys natalensis";7.83;-12;"Petema";"Sierra Leone";"morpho + chrom";"high";"Robbins et al. 1983";"NA";;
"Mastomys natalensis";7.98;-10.95;"Segbwema";"Sierra Leone";"morpho + chrom";"high";"Robbins et al. 1983";"NA";;
"Mastomys natalensis";8.45;-11.12;"Tongo";"Sierra Leone";"morpho + cell culture Lassa";"high";"Monath et al. 1974";"NA";;
"Mastomys natalensis";8.22;-11.05;"Tongola";"Sierra Leone";"morpho + cell culture + IFA Lassa";"high";"McCormick et al. 1987";"NA";;
"Mastomys natalensis";9.7;-11.88;"Waridalah";"Sierra Leone";"morpho + chrom";"high";"Robbins et al. 1983";"NA";;
"Mastomys natalensis";7.83;-12.02;"Yengema";"Sierra Leone";"morpho + chrom";"high";"Robbins et al. 1983";"NA";;
"Mastomys natalensis";8.4667;-13.2;"Freetown";"Sierra Leone";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";8.3333;-13;"Newton";"Sierra Leone";"morpho";"low";"BeBIF Provider";"NA";;
"Mastomys natalensis";-28.73;32.08;"Richard's Bay";"South Africa";"morpho + PCR cytb";"high";"Lecompte et al. 2005";"NA";;
